 INFO 2015-04-26 18:07:42,585 [main] (TestEngine.java:85) - Started executing Test Set :Item_Set_Positive_Scenarios
 INFO 2015-04-26 18:07:45,549 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-26 18:15:24,004 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Set'
 INFO 2015-04-26 18:15:24,008 [main] (StartPoint.java:82) - Execution is completed
 INFO 2015-04-26 18:29:14,723 [main] (StartPoint.java:33) - Configuration log4j is successful
 INFO 2015-04-26 18:29:14,932 [main] (StartPoint.java:62) -  [1] suite/s for execution
 INFO 2015-04-26 18:29:14,933 [main] (StartPoint.java:77) - Initialization successful
 INFO 2015-04-26 18:29:15,060 [main] (StartPoint.java:79) - Starting execution
 INFO 2015-04-26 18:29:16,428 [main] (TestEngine.java:68) - Total 1 sets for execution in [Items API] suite
 INFO 2015-04-26 18:29:16,429 [main] (TestEngine.java:79) - Total 2 test cases for execution in Item_Set_Positive_Scenarios set
 INFO 2015-04-26 18:29:16,430 [main] (TestEngine.java:85) - Started executing Test Set :Item_Set_Positive_Scenarios
 INFO 2015-04-26 18:29:21,028 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-26 18:29:55,515 [main] (TestEngine.java:125) - Successfully performed 'GET'operation on 'Get the Set'
 INFO 2015-04-26 18:29:59,648 [main] (TestcaseRun.java:343) - Executing GET request - 
 INFO 2015-04-26 18:30:40,633 [main] (StartPoint.java:33) - Configuration log4j is successful
 INFO 2015-04-26 18:30:40,834 [main] (StartPoint.java:62) -  [1] suite/s for execution
 INFO 2015-04-26 18:30:40,835 [main] (StartPoint.java:77) - Initialization successful
 INFO 2015-04-26 18:30:40,961 [main] (StartPoint.java:79) - Starting execution
